 -0.078,-0.324,0.940,-23.57,5.10,2.77
 -0.081,-0.337,0.949,-14.63,4.01,4.39
 -0.086,-0.337,0.948,2.57,0.97,-1.42
 -0.085,-0.314,0.964,22.11,-4.78,-3.65
 -0.095,-0.281,0.948,42.49,3.77,-4.75
 -0.077,-0.268,0.940,30.94,3.40,-1.54
 -0.093,-0.239,0.958,15.21,1.98,-3.05
 -0.092,-0.236,0.963,7.61,2.47,-0.73
 -0.091,-0.234,0.967,2.24,1.10,2.88
 -0.099,-0.227,0.968,1.71,-2.84,1.72
 -0.093,-0.226,0.970,5.90,-1.52,-0.56
 -0.097,-0.220,0.971,5.98,0.69,-1.85
 -0.099,-0.208,0.982,10.58,3.54,-0.92
 -0.101,-0.210,0.968,11.76,1.25,-1.87
 -0.092,-0.207,0.967,4.98,1.53,-1.43
 -0.100,-0.189,0.974,0.57,2.79,-0.20
 -0.102,-0.200,0.973,-6.16,-0.06,-0.57
 -0.091,-0.204,0.978,-6.00,1.84,-0.53
 -0.101,-0.202,0.981,-3.30,-1.78,-4.05
 -0.099,-0.205,0.973,-0.49,1.59,-2.27
 -0.103,-0.196,0.980,1.30,0.43,-2.06
 -0.099,-0.194,0.976,7.29,0.48,2.70
 -0.102,-0.166,0.983,27.64,4.72,-1.31
 -0.113,-0.123,1.004,48.41,15.92,-4.40
 -0.135,-0.088,0.967,59.05,13.18,-7.04
 -0.138,-0.025,0.974,65.32,10.77,-3.39
 -0.154,0.047,1.000,87.71,13.20,-4.31
 -0.168,0.092,0.974,81.15,13.82,-0.80
 -0.155,0.132,0.959,35.08,7.71,-2.10
 -0.173,0.166,0.977,18.77,8.36,-5.02
 -0.197,0.205,0.971,31.13,8.70,-2.80
 -0.201,0.220,0.956,40.96,6.40,-1.55
 -0.210,0.253,0.954,35.10,-1.68,3.97
 -0.194,0.263,0.931,21.31,0.21,0.57
 -0.184,0.268,0.934,1.68,-1.51,2.61
 -0.169,0.204,0.924,-50.41,-6.39,5.97
 -0.142,0.072,0.890,-160.69,-39.65,12.67
 -0.124,0.019,1.047,-178.35,-26.85,-1.86
 -0.126,-0.149,0.973,-129.62,-16.18,-0.89
 -0.102,-0.275,0.959,-130.60,15.98,-0.26
 -0.159,-0.332,0.961,-93.36,17.49,-2.34
 -0.146,-0.369,0.916,-19.19,-8.39,0.73
 -0.142,-0.324,1.025,60.09,-19.31,0.13
 -0.122,-0.280,0.963,144.95,2.04,-2.62
 -0.122,-0.103,0.961,170.66,14.46,-13.28
 -0.112,0.025,0.968,125.74,6.81,-6.85
 -0.121,0.132,0.998,105.64,19.46,-9.56
 -0.149,0.223,0.955,99.40,21.84,-12.52
 -0.194,0.269,0.922,68.95,18.15,-3.75
 -0.184,0.300,0.905,16.33,5.48,-0.67
 -0.184,0.250,0.894,-36.34,-7.93,10.34
 -0.103,0.131,0.894,-148.15,-19.69,-6.77
 -0.167,-0.012,0.997,-217.49,-22.99,-2.38
 -0.107,-0.276,0.926,-191.56,-11.34,-4.74
